Emotion,Count,BibTexKeys,EmotionModel,DomainApp
Negative emotions (unspecified),16,ancker2009healthrisks; anderson2021affective; arunkumar2025recall; blair2025immutable; garreton2023attitudinal; giacomin2012energyvis; harrison2013affpriming; holder2024tuesday; kauer2021publiclife; kennedy2025generic; klettner2025significance; markant2026sectarianism; mittenentzwei2023disease; van2021justagraph; zamil2025ccgame; zhao2022visasinfra,Circumplex Valence-Arousal Model; Elaboration Likelihood Model; Emotional flow; PANAS; Persuasive System Design; Valence/Arousal/Dominance; none,Agnostic; Climate; Journalism; Medicine; Public Health; Social/Civic; Various
Surprise,16,abraha2025diabetes; alebri2023embellishments; allen2018visbrokerage; block2012deeptree; holder2024tuesday; kaufmann2023environart; koesten2025crisismaps; lan2021linearity; lan2021smile; lan2022kineticharts; markant2026sectarianism; pfeiffer2022makehappy; pirani2020femcart; rogha2024impactelic; xie2024emordle; yang2024swaying,Affective Lexicon; COM-B Framework; Emotional involvement; Geneva Emotion Wheel; PANAS; Sentiment analysis; User Engagement Scale; Wheel of Emotions; none; own,Agnostic; Climate; Industry; Journalism; Medicine; Public Health; Science Education; Social/Civic; Various
Affective Trust,14,allen2018visbrokerage; banks2024benefits; davidson2025maps; elhamdadi2024vistrust; fox2025vibes; he2024receptivity; kennedy2025generic; knoll2025gulf; koesten2025crisismaps; markant2026sectarianism; mckinley2025trustworthy; song2025credibility; vandenbosch2022weather; wei2025atthepeak,Elaboration Likelihood Model; Emotional response; Wheel of Emotions; none; own,Agnostic; Climate; Industry; Public Health; Social/Civic; Various
Interest,14,alebri2023embellishments; campbell2022Feeling; davidson2025maps; ehmel2021topography; fuest2023nudging; jain2025strolly; knoll2025gulf; koesten2025crisismaps; lan2021linearity; moin2025vagina; morini2024ShockShiftData; zamil2025ccgame; zhu2024reader; zou2025campus,Circumplex Valence-Arousal Model; Emotional involvement; Emotional resonance; Empathy; Geneva Emotion Wheel; PANAS; Persuasive System Design; Physiological; none; own,Climate; Culture/Humanities; Industry; Medicine; Public Health; Social/Civic; Various
Positive emotions (unspecified),13,ancker2009healthrisks; arunkumar2025recall; blair2025immutable; garreton2023attitudinal; giacomin2012energyvis; harrison2013affpriming; holder2024tuesday; kauer2021publiclife; kennedy2025generic; mittenentzwei2023disease; van2021justagraph; zamil2025ccgame; zhao2022visasinfra,Circumplex Valence-Arousal Model; Elaboration Likelihood Model; Emotional flow; PANAS; Persuasive System Design; Valence/Arousal/Dominance; none,Agnostic; Climate; Journalism; Medicine; Public Health; Social/Civic; Various
Sadness,12,campbell2022Feeling; fuest2023nudging; he2024receptivity; kennedy2018feeling; lan2021smile; li2023artistic; pfeiffer2022makehappy; pirani2020femcart; sakamoto2022datavideo; wei2025atthepeak; xie2024emordle; yang2024swaying,Affective Lexicon; Elaboration Likelihood Model; Geneva Emotion Wheel; PANAS; Wheel of Emotions; none,Agnostic; Climate; Public Health; Social/Civic; Various
Curiosity,11,block2012deeptree; ehmel2021topography; ferreira2024arcadia; jain2025strolly; koesten2025crisismaps; lan2021linearity; morini2024ShockShiftData; pirani2020femcart; vandenbosch2022weather; zamil2025ccgame; zou2025campus,Elaboration Likelihood Model; Emotional involvement; Emotional resonance; Intrinsic Motivation Inventory; PANAS; Persuasive System Design; none; own,Climate; Culture/Humanities; Industry; Public Health; Science Education; Social/Civic; Various
Joy,11,ferreira2024arcadia; fuest2023nudging; he2024receptivity; jain2025strolly; lan2022kineticharts; pfeiffer2022makehappy; wei2025atthepeak; wu2023datadata; xie2024emordle; zhang2021affcolmap; zou2025campus,Circumplex Valence-Arousal Model; Emotional involvement; Emotional resonance; Empathy perception/mapping; Geneva Emotion Wheel; Intrinsic Motivation Inventory; Wheel of Emotions; none,Agnostic; Climate; Culture/Humanities; Industry; Journalism; Public Health; Social/Civic; Various
Anger,10,campbell2022Feeling; fuest2023nudging; kennedy2018feeling; li2023artistic; markant2026sectarianism; pfeiffer2022makehappy; pirani2020femcart; wei2025atthepeak; xie2024emordle; yang2024swaying,Geneva Emotion Wheel; PANAS; Wheel of Emotions; none,Agnostic; Climate; Social/Civic; Various
Empathy,9,boy2017showing; concannon2020brooke; ehmel2021topography; ferreira2024arcadia; kennedy2018feeling; liem2020structure; oh2018harnessing; sakamoto2022datavideo; zhu2024reader,Elaboration Likelihood Model; Empathy; Empathy perception/mapping; Empathy-arousal; European Social Survey; Intrinsic Motivation Inventory; none,Climate; Culture/Humanities; Medicine; Public Health; Social/Civic; Various
Anxiety,8,abraha2025diabetes; edgeley2024wildfire; hakone2016proact; kennedy2018feeling; mencarini2025peaks; sallam2002datavideos; sorapure2023user; wu2023datadata,5 Personality Traits; COM-B Framework; Emotional valence; Empathy perception/mapping; State Anxiety Scale; none,Climate; Medicine; Public Health; Various
Enjoyment,7,arunkumar2024imageinfo; lan2021linearity; romat2020dearpict; vandenbosch2022weather; zamil2025ccgame; zhang2023digital; zhu2024reader,BeauVis Scale; Elaboration Likelihood Model; Empathy; Enjoyment; Persuasive System Design; User Engagement Scale; none,Agnostic; Climate; Industry; Journalism; Public Health; Social/Civic
Fear,7,fuest2023nudging; holder2024tuesday; li2023artistic; markant2026sectarianism; sorapure2023user; wei2025atthepeak; xie2024emordle,Emotional valence; Geneva Emotion Wheel; Wheel of Emotions; none,Agnostic; Climate; Public Health; Social/Civic
Aesthetic Appeal,5,alebri2023embellishments; arunkumar2024imageinfo; knoll2025gulf; schuster2024climate; sorapure2023user,BeauVis Scale; Emotional valence; none,Climate; Public Health; Social/Civic; Various
Excitement,5,anderson2021affective; block2012deeptree; kennedy2018feeling; lan2021smile; lan2022kineticharts,Affective Lexicon; Circumplex Valence-Arousal Model; Emotional involvement; none,Journalism; Public Health; Science Education; Various
Happiness,5,lan2021smile; li2023artistic; yang2024swaying; zhang2021affcolmap; zou2025campus,Affective Lexicon; Circumplex Valence-Arousal Model; Emotional resonance; Geneva Emotion Wheel; PANAS,Climate; Culture/Humanities; Industry; Social/Civic; Various
